"religious_compatibility_larson_et_al_2016","child_mortality_estimates_gapminder_2015","child_mortality_1950_2017_ihme_2018_x","inequality_in_life_expectancy_2015_2020","inequality_in_education_2017","infant_mortality_rate","international_historical_statistics_deaths_per_1_000_brian_mitchell_2013","life_expectancy","population_x","life_expectancy_1950_2015_un_population_division_2015","mean_bmi_male","mean_bmi_female","neonatal_mortality_rate_via_childmortality_org_2015","number_of_child_deaths_1950_2017_ihme_2017","number_of_infant_deaths_ihme_2017","number_of_neonatal_deaths_ihme_2017","total_population_gapminder_hyde_un","population_by_country_and_region_historic_and_projections_gapminder_hyde_un","share_of_world_population"
22.6,17,18.62,11.5,12.5,1356.533959,5.1,78.506,4246000,77.3,26.33225151,27.84507405,9.6,1,949,545,4381583,6439999,6e-04
18.5,57.3,57.46,25.3,11.5,3401.46013,6.57271682637,64.501,8776000,62.3,25.39883144,26.00865594,24.5,14,9985,5619,9119005,19782704,0.0012
17.677,20.5,15.52,18,16.7,1099.695421,5.57209555088,74.254,7045000,72.7,26.707868,27.13007968,10.9,2,1600,664,7219641,8733633,9e-04
20.5,16.9,17.16,13.2,15.3,1221.789271,5.5103383748,76.736,32510000,74.2,26.3662965,27.27829945,8.2,12,9203,5116,33359415,39158180,0.0042
13.9,28,29.4,14.4,11.6,2014.11833,4.997056098,71.231,108117000,68,22.89963784,23.60315367,12.6,66,49489,29690,111046910,146327441,0.0141
10.6,5.2,4.81,4.7,4.7,366.3242414,9.912034939,78.73,37888000,77.1,27.63955019,26.15003733,3.1,2,1323,948,37797000,23032569,0.0048
5.6,3.6,3.94,2.9,16.3,272.3945502,9.952576517,82.049,10226000,80.5,26.27238812,25.30196049,2,0,231,153,10167923,6984955,0.0013
12.604,7.7,7.95,5.9,11.4,543.0833892,7.96073192272,80.227,2832000,77.9,28.93386095,30.37723605,3.8,0,167,105,2930524,4162408,4e-04
11.9,11.1,9.63,6.8,6.3,707.6400662,12.11507547,76.054,19365000,74.5,27.3277675,27.02751136,6.3,2,1294,739,19127772,11877961,0.0024
8.8,9.6,8.36,8,2.2,559.0535331,14.19155127,72.584,145872000,69.8,25.98863335,26.69187846,5,12,9572,6461,145912022,126142651,0.0185
16.235,42,50.68,23.8,29.3,3419.415576,6.36412244172,69.024,12627000,63.1,21.28077014,22.75714568,18.7,19,13751,7656,13276517,33412642,0.0017
14.449,2.9,5.9532,4.803,8.516,402.244598133,7.75329407008,84.972,34000,78.397,26.5586207973,25.7074086791,0.7,11.83,3543.16,2641.58,34010,29693,0
14.723,47.3,34.06,25.9,18.3,2539.717063,6.81903570907,70.385,215000,66.2,23.9792431,25.76122035,17.1,0,123,70,223364,708097,0
2.2,14.5,8.23,8.9,16.2,735.4565519,8.53092074491999,75.133,34269000,74.1,28.13973836,29.50637747,7.9,4,3670,2419,35340680,42231012,0.0045
15.917,47.2,53.14,21.1,46.5,3397.166798,6.39900460881999,67.941,16296000,65.8,21.90378795,24.13324951,20.8,23,16159,9798,17196308,63515357,0.0022
13.6,6.7,5.61,7.1,8.1,437.1464594,21.8,76.001,8772000,74.6,26.78923098,25.73872813,4.2,0,366,259,8697547,4217425,0.0011
12.093,120.4,117.82,39.8,47.3,7942.533669,7.69070957056999,54.696,7813000,50.2,21.9114498,23.58342185,34.9,30,20114,9056,8141343,16675197,0.001
13.521,2.7,2.12,2.6,8.2,129.2178014,3.428703184,83.62,5804000,82.6,24.4019799,23.14285847,1,0,80,46,5896684,5733477,7e-04
10.303,6.7,6.52,5.2,1.4,477.7632175,11.3313903661,77.542,5457000,76,27.54900625,25.72590086,4.2,0,255,153,5460726,3829211,7e-04
19.4,2.7,2.32,3,2.2,166.0980378,7.5244604408,81.324,2079000,80.1,26.78385887,26.73878467,1.4,0,33,26,2078723,1676264,3e-04
10.518,136.8,110.4,38.9,42.744,5708.750822,7.51498511167,57.397,15443000,54.9,22.54632092,23.96891503,39.7,56,36737,17095,16359500,75716429,0.0021
12.1,42.1,35.87,20.3,14.3,2400.860333,6.91818951041,64.131,58558000,57.1,25.10522536,29.59192125,11,33,25773,12661,60041996,79190832,0.0076
17.5,3.5,3.54,3.012,9.34000000000001,269.2028526,8.19583382884001,83.033,51225000,81.4,24.465566,23.1632351,1.6,1,1146,637,51305184,29541953,0.0065
11.35,92.6,111.26,37,39.6,8361.238892,7.49120495838,57.846,11062000,55.1,22.783029761,23.8726986467,39.3,47,31687,15380,11381377,31738064,0.0014
10.7,4.1,3.47,3,18.6,266.2264833,8.232298816,83.565,46737000,82.3,27.162678,24.92999859,2.8,1,1080,718,46745211,33209856,0.0059
18.935,8.7,9.29,7.1,12.8,684.2390101,6.226843558,76.978,21324000,74.6,22.6383471,23.83638768,5.4,2,2034,1533,21497306,15275209,0.0027
9.541,70.1,52.66,27.9,42.5,4236.793727,7.48251948389,65.311,42813000,63.1,23.29135867,26.12280796,29.8,68,53535,31836,44909351,142342356,0.0057
16.207,21.3,31.56,12.4,15.6,2669.594504,6.08678805198,71.682,581000,70.9,25.49760616,27.91742678,11.5,0,250,172,591798,613122,1e-04
5.6,3,3.03,2.7,3.7,226.383117,9.648729394,82.797,10036000,81.9,26.86405077,25.45995973,1.6,0,269,176,10160159,13022532,0.0013
12.587,3.9,4.04,3.5,2.4,322.5397396,7.986043718,83.779,8591000,82.7,26.8336985,23.81875224,2.7,0,283,222,8715494,11041105,0.0011
15.074,12.9,18.76,13,16.51,966.093174,6.26956651876,72.697,17070000,69.5,27.55826342,29.48096759,7,6,2549,1530,18275704,36103178,0.0023
12.478,44.8,52.39,20.1,6.5,3424.604178,8.44976467813,71.097,9321000,69.1,26.00734586,26.49672721,20.5,11,9273,5133,9749625,25328026,0.0012
